combo_id,sl_pct,sl_rank,tp_pct,tp_rank,profit_pct,calmar,sharpe,sortino,drawdown_pct,dd_days,profit_factor,win_rate,trades,tpd,cond_tp_count,cond_tp_avg_pct
baseline,,,,,51.43,4.328,0.426,1.896,44.03,328.6,1.338,36.3,262,0.332,0,0.0
sl05_slr70_tpx_tprx,0.05,0.7,,,51.79,4.615,0.442,1.907,40.04,186.5,1.337,33.2,286,0.363,0,0.0
sl05_slr80_tpx_tprx,0.05,0.8,,,37.79,3.565,0.386,1.662,33.66,336.4,1.254,28.2,344,0.437,0,0.0
sl05_slr90_tpx_tprx,0.05,0.9,,,49.52,4.869,0.657,3.78,35.11,307.9,1.264,17.7,656,0.832,0,0.0
sl08_slr70_tpx_tprx,0.08,0.7,,,43.38,3.843,0.378,1.692,38.89,186.1,1.277,33.0,282,0.358,0,0.0
sl08_slr80_tpx_tprx,0.08,0.8,,,49.26,5.431,0.45,2.093,31.62,90.8,1.306,30.6,327,0.415,0,0.0
sl08_slr90_tpx_tprx,0.08,0.9,,,37.1,3.129,0.427,2.867,40.75,337.0,1.195,22.7,515,0.654,0,0.0
sl10_slr70_tpx_tprx,0.1,0.7,,,34.28,2.711,0.313,1.357,44.22,329.4,1.22,34.4,282,0.358,0,0.0
sl10_slr80_tpx_tprx,0.1,0.8,,,37.92,3.787,0.375,1.761,32.77,329.7,1.238,32.3,334,0.424,0,0.0
sl10_slr90_tpx_tprx,0.1,0.9,,,45.85,4.444,0.484,3.499,35.03,80.8,1.257,27.2,426,0.541,0,0.0
sl12_slr70_tpx_tprx,0.12,0.7,,,42.56,3.7,0.368,1.681,40.82,333.0,1.27,35.1,276,0.35,0,0.0
sl12_slr80_tpx_tprx,0.12,0.8,,,35.25,3.377,0.344,1.739,34.98,183.9,1.216,31.4,328,0.416,0,0.0
sl12_slr90_tpx_tprx,0.12,0.9,,,40.97,3.639,0.429,3.389,38.53,308.0,1.242,30.7,384,0.487,0,0.0
sl15_slr70_tpx_tprx,0.15,0.7,,,30.71,2.475,0.288,1.288,43.18,320.9,1.196,36.0,283,0.359,0,0.0
sl15_slr80_tpx_tprx,0.15,0.8,,,35.92,3.153,0.332,1.726,40.45,173.9,1.21,34.5,325,0.412,0,0.0
sl15_slr90_tpx_tprx,0.15,0.9,,,28.51,2.416,0.294,2.033,39.65,315.8,1.172,31.7,353,0.448,0,0.0
sl20_slr70_tpx_tprx,0.2,0.7,,,50.63,4.322,0.433,2.038,42.63,328.6,1.336,36.1,269,0.341,0,0.0
sl20_slr80_tpx_tprx,0.2,0.8,,,54.99,5.158,0.46,2.545,38.83,173.9,1.351,36.5,282,0.358,0,0.0
sl20_slr90_tpx_tprx,0.2,0.9,,,42.23,3.647,0.378,2.123,41.94,98.7,1.257,35.1,302,0.383,0,0.0
slx_slrx_tp10_tpr70,,,0.1,0.7,69.39,6.563,0.479,2.41,40.19,173.9,1.412,37.4,281,0.357,73,49.26
slx_slrx_tp10_tpr80,,,0.1,0.8,115.02,12.702,0.683,3.513,36.94,77.6,1.515,43.3,335,0.425,116,39.39
slx_slrx_tp10_tpr90,,,0.1,0.9,144.61,13.644,0.997,3.998,48.32,89.7,1.442,51.0,500,0.635,229,25.99
slx_slrx_tp20_tpr70,,,0.2,0.7,77.75,7.473,0.524,2.682,39.98,98.7,1.468,37.1,272,0.345,44,73.54
slx_slrx_tp20_tpr80,,,0.2,0.8,103.17,11.436,0.655,3.179,37.98,84.6,1.504,38.2,304,0.386,66,58.97
slx_slrx_tp20_tpr90,,,0.2,0.9,106.88,9.696,0.692,3.0,50.96,70.8,1.376,39.7,388,0.492,107,46.52
slx_slrx_tp30_tpr70,,,0.3,0.7,65.01,5.876,0.458,2.285,41.97,183.9,1.399,36.9,271,0.344,33,89.72
slx_slrx_tp30_tpr80,,,0.3,0.8,80.61,7.885,0.561,2.627,42.07,288.3,1.412,36.2,290,0.368,44,80.15
slx_slrx_tp30_tpr90,,,0.3,0.9,105.38,9.424,0.707,3.092,50.63,99.8,1.405,35.8,341,0.433,65,70.07
slx_slrx_tp40_tpr70,,,0.4,0.7,60.76,5.521,0.433,2.149,40.8,328.6,1.381,36.6,268,0.34,23,115.42
slx_slrx_tp40_tpr80,,,0.4,0.8,76.43,7.269,0.535,2.491,42.64,284.7,1.412,35.7,280,0.355,31,102.97
slx_slrx_tp40_tpr90,,,0.4,0.9,92.89,7.887,0.644,2.857,51.58,173.9,1.394,35.2,321,0.407,48,85.8
slx_slrx_tp50_tpr70,,,0.5,0.7,69.3,6.245,0.477,2.428,42.21,328.6,1.44,36.9,263,0.334,19,133.48
slx_slrx_tp50_tpr80,,,0.5,0.8,66.74,5.656,0.492,2.278,47.04,284.7,1.372,35.6,281,0.357,24,120.72
slx_slrx_tp50_tpr90,,,0.5,0.9,85.97,7.268,0.606,2.705,49.05,203.5,1.398,34.2,304,0.386,36,101.96
sl05_slr80_tp20_tpr70,0.05,0.8,0.2,0.7,70.13,7.666,0.565,2.795,30.99,167.8,1.428,28.7,355,0.451,46,72.23
sl08_slr80_tp20_tpr70,0.08,0.8,0.2,0.7,55.56,5.809,0.455,2.257,33.19,101.5,1.311,30.9,356,0.452,49,67.32
sl10_slr80_tp20_tpr70,0.1,0.8,0.2,0.7,58.54,5.705,0.444,2.467,37.21,101.3,1.315,30.5,347,0.44,50,70.07
sl12_slr80_tp20_tpr70,0.12,0.8,0.2,0.7,68.39,6.724,0.507,2.966,36.62,101.8,1.376,31.6,335,0.425,48,73.59
