version,config,description,profit_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,win_rate_pct,total_trades,trades_per_day,avg_profit_pct,holding_avg,market_change_pct
v00,v00_baseline,Baseline: all 8 factors equal weight,114.22,1.1417,2.8179,11.4583,56.71,1.267,50.3,835,1.06,2.4383,"9 days, 8:14:00",-33.04
v01,v01_momentum_focus,"Multi-TF momentum, drop liq/size/overext",43.76,0.5675,1.7855,3.1079,56.21,1.129,44.16,942,1.2,1.2492,"8 days, 3:00:00",-33.04
v02,v02_quality_momentum,3x vol-adj mom + 2x overext + mom_30d,55.73,0.5058,1.833,4.7443,46.31,1.2,44.1,551,0.7,2.3669,"13 days, 19:05:00",-33.04
v03,v03_multitf_momentum,Long TF momentum 90d + vol_mom dual + vol_adj_mom,-22.75,-0.3603,-1.2975,-1.6298,33.84,0.849,32.91,395,0.5,-0.9048,"18 days, 1:49:00",-33.04
v04,v04_simple_clean,mom_30/7d + vol_adj_mom_30d + overext_30d,50.73,0.5855,1.8119,3.4791,63.67,1.157,42.82,738,0.94,1.6477,"10 days, 6:17:00",-33.04
v05,v05_longer_windows,mom_60/30d + rev_3d + vol_mom + overext/liq/size 14d,25.71,0.3281,0.8385,1.837,47.99,1.117,47.45,432,0.55,1.6253,"17 days, 9:57:00",-33.04
v06,v06_v04_plus_volmom,V04 + vol_mom_7d,88.77,0.6309,2.6075,6.827,75.0,1.235,46.84,792,1.01,2.4858,"9 days, 13:19:00",-33.04
v07,v07_short_overext,V04 overext_10d+5d,-10.24,-0.2421,-0.3739,-0.5402,76.32,0.977,53.66,1433,1.82,0.2028,"5 days, 7:13:00",-33.04
v08,v08_dual_volmom,V04 + dual vol_adj_mom 30/14d,66.8,0.4503,2.3081,4.9627,55.51,1.243,39.16,498,0.63,2.7615,"15 days, 7:58:00",-33.04
v09,v09_v04_no_overext,V04 without overextension,56.7,0.3545,2.1567,4.0664,52.71,1.226,37.96,432,0.55,2.739,"17 days, 16:32:00",-33.04
v10,v10_v04_dual_overext,V04 overext_30d + overext_60d,-4.09,-0.1122,-0.1839,-0.2461,62.21,0.992,48.46,1820,2.31,0.2287,"4 days, 0:51:00",-33.04
v11,v11_v04_overext20,V04 overext_20d,25.76,0.3268,1.089,2.1746,41.09,1.099,44.49,681,0.86,1.131,"11 days, 4:17:00",-33.04
v12,v12_v04_volmom14,V04 vol_adj_mom_14d,78.24,0.9803,2.8705,6.5614,53.4,1.199,40.02,872,1.11,1.92,"8 days, 18:03:00",-33.04
v13,v13_v03_add14d,v03 + mom(14d→1d),-25.99,-0.3913,-1.4623,-1.701,37.05,0.82,32.87,362,0.46,-1.3832,"19 days, 16:24:00",-33.04
v14,v14_v03_no_skip,v03 no skip-month,-29.47,-0.5215,-1.7638,-1.8016,39.65,0.802,33.41,428,0.54,-1.46,"16 days, 14:35:00",-33.04
v15,v15_v03_shorter_volmom,v03 shorter vol_mom,-18.66,-0.2862,-1.0165,-1.2893,35.09,0.868,33.43,332,0.42,-0.595,"21 days, 8:23:00",-33.04
v16,v16_v05_no_noise,v05 drop rev+overext+liq+size; dual vol_adj_mom,45.13,0.2504,1.5984,3.5294,46.59,1.288,38.1,210,0.27,4.1003,"35 days, 13:19:00",-33.04
v17,v17_v05_drop_rev_overext,v05 drop rev+overext; keep liq+size; dual vol_adj_mom,67.1,0.295,2.2291,6.1222,40.39,1.466,38.07,176,0.22,6.6726,"42 days, 15:44:00",-33.04
v18,v18_hybrid_pure_mom,hybrid mom(90/60/30d) + vol_mom + dual vol_adj_mom,-4.13,-0.0351,-0.223,-0.3453,28.97,0.957,32.24,152,0.19,0.4982,"47 days, 13:23:00",-33.04
v19,v19_v16_triple_adj_mom,v16 + vol_adj_mom(14d) — clean,58.38,0.3393,2.0475,5.0566,41.04,1.361,34.96,246,0.31,4.4486,"30 days, 8:54:00",-33.04
v20,v20_v16_dual_volmom,"v16 + vol_mom(14d,3d,30d)",33.74,0.2048,1.2254,2.1938,58.81,1.203,38.1,231,0.29,3.0628,"32 days, 9:27:00",-33.04
v21,v21_v17_triple_adj_mom,v17 + vol_adj_mom(14d) [liq+size],56.72,0.2936,1.9531,5.1718,37.76,1.398,36.6,194,0.25,5.7776,"38 days, 16:55:00",-33.04
v22,v22_v17_dual_volmom,"v17 + vol_mom(14d,3d,30d) [liq+size]",76.19,0.362,2.3663,8.0628,35.94,1.46,34.93,209,0.27,6.2148,"35 days, 21:58:00",-33.04
v23,v23_v19_add7d,v19 + mom(7d→1d),28.26,0.1974,0.9896,2.015,53.28,1.145,31.8,283,0.36,2.5452,"26 days, 6:13:00",-33.04
v24,v24_v21_no_size,"v21 drop size, keep liq",52.88,0.2938,1.7599,4.4872,43.66,1.337,35.58,208,0.26,4.8614,"36 days, 3:12:00",-33.04
v25,v25_v19_plus_long_volmom,"v19 + vol_mom(30d,3d,90d)",10.52,0.0877,0.5025,0.7932,35.06,1.078,32.17,258,0.33,1.513,"27 days, 14:37:00",-33.04
