config,description,is_profit_pct,is_sharpe,is_calmar,is_drawdown_pct,is_profit_factor,is_trades,oos_trades,oos_win_rate_pct,oos_profit_usdt,oos_profit_pct,oos_cagr_pct,oos_profit_factor,oos_sharpe,oos_sortino,oos_calmar,oos_expectancy,oos_avg_profit_pct,oos_drawdown_pct,oos_trades_per_day,market_change_pct
v00_baseline,Baseline: all 8 factors equal weight,19.34,1.004,5.329,23.25,1.217,360,219,45.21,-142.178,-14.22,-31.15,0.735,-2.1188,-4.3947,-5.6426,-0.6492,-1.0029,32.26,1.46,-42.53
v01_momentum_focus,"Multi-TF momentum, drop liq/size/overext",13.4,0.561,2.66,33.69,1.146,400,171,40.35,-151.924,-15.19,-33.03,0.678,-2.394,-4.9718,-6.5773,-0.8884,-1.7538,29.5,1.14,-42.53
v02_quality_momentum,3x vol-adj mom (30/14/7d) + 2x overext + mom_30d,15.29,0.447,3.274,30.59,1.19,226,90,26.67,-203.927,-20.39,-42.59,0.511,-2.4939,-5.66,-7.3773,-2.2659,-4.6114,35.21,0.6,-42.53
v03_multitf_momentum,Long TF momentum 90d + vol_mom dual + vol_adj_mom,8.78,0.25,2.374,23.31,1.147,162,45,33.33,21.247,2.12,5.25,1.101,0.1676,0.546,1.5493,0.4722,2.0706,17.47,0.3,-42.53
v04_simple_clean,mom_30d + mom_7d + vol_adj_mom_30d + overext_30d [IS BEST],24.47,0.696,6.12,25.84,1.281,313,145,40.0,-121.262,-12.13,-26.99,0.749,-1.5783,-3.7078,-4.5367,-0.8363,-1.112,34.78,0.97,-42.53
v05_longer_windows,mom_60d + mom_30d + rev_3d + vol_mom + overext/liq/size 14d,10.56,0.39,2.631,25.65,1.168,164,84,41.67,-46.808,-4.68,-11.01,0.849,-0.4057,-1.1983,-2.819,-0.5572,-0.6155,21.15,0.56,-42.53
v06_v04_plus_volmom,V04 + vol_mom_7d,18.32,0.698,4.058,29.83,1.196,355,139,35.25,-155.566,-15.56,-33.73,0.668,-2.2139,-4.4809,-6.4588,-1.1192,-2.0794,30.68,0.93,-42.53
v07_short_overext,V04 overext_10d+5d replacing overext_30d,-0.68,-0.054,-0.147,32.38,0.995,658,273,46.89,-253.86,-25.39,-50.96,0.606,-5.5215,-7.7945,-8.7295,-0.9299,-1.9847,37.87,1.82,-42.53
v08_dual_volmom,V04 vol_adj_mom at 30d and 14d,13.33,0.335,2.755,31.01,1.179,200,97,29.9,-130.5,-13.05,-28.84,0.679,-1.5574,-3.7764,-5.3815,-1.3454,-1.9586,30.89,0.65,-42.53
v09_v04_no_overext,"V04 without overextension, adds mom_14d + vol_adj_mom_14d",9.23,0.262,1.855,31.59,1.138,172,81,28.4,-125.148,-12.51,-27.77,0.649,-1.4487,-3.6111,-5.7556,-1.545,-3.1258,27.69,0.54,-42.53
v10_v04_dual_overext,V04 overext_30d + overext_60d,-14.64,-1.425,-2.753,34.88,0.91,823,312,43.59,-238.327,-23.83,-48.44,0.668,-5.4829,-7.8202,-8.6667,-0.7639,-1.5785,36.59,2.08,-42.53
v11_v04_overext20,V04 overext_20d instead of 30d,8.43,0.312,1.933,28.35,1.102,300,122,36.89,-105.164,-10.52,-23.69,0.761,-1.2587,-2.9978,-4.332,-0.862,-1.0554,31.2,0.81,-42.53
v12_v04_volmom14,V04 vol_adj_mom_14d instead of 30d,2.72,0.137,0.544,31.96,1.027,359,166,31.33,-172.293,-17.23,-36.88,0.658,-2.945,-6.0603,-7.3278,-1.0379,-1.9239,29.95,1.11,-42.53
