label,sl_pct,sl_rank,tp_pct,tp_rank,period,profit_pct,calmar,sharpe,sortino,drawdown_pct,dd_days,profit_factor,win_rate,trades,tpd,cond_tp_count,cond_tp_avg_pct
baseline,,,,,2024,64.33,36.373,1.491,6.636,12.63,35.8,2.301,45.9,109,0.327,0,0.0
baseline,,,,,IS2025,15.02,3.828,0.292,1.902,24.75,249.9,1.335,40.0,100,0.33,0,0.0
baseline,,,,,OOS,6.29,5.287,0.437,1.675,15.16,92.2,1.33,37.8,45,0.3,0,0.0
tp10_tpr80,,,0.1,0.8,2024,85.92,36.149,2.066,7.788,17.99,72.9,2.207,50.0,162,0.486,62,37.92
tp10_tpr80,,,0.1,0.8,IS2025,32.42,9.361,0.638,4.146,21.84,76.2,1.635,46.0,124,0.409,39,23.07
tp10_tpr80,,,0.1,0.8,OOS,12.66,11.662,0.745,3.28,13.82,92.2,1.692,37.5,48,0.32,9,13.47
tp10_tpr90,,,0.1,0.9,2024,74.88,19.393,1.936,5.793,32.52,125.8,1.616,52.5,240,0.721,113,27.68
tp10_tpr90,,,0.1,0.9,IS2025,21.3,6.331,0.54,2.749,21.21,76.2,1.291,47.4,194,0.64,73,17.96
tp10_tpr90,,,0.1,0.9,OOS,7.16,6.279,0.558,1.888,14.52,65.7,1.299,38.1,63,0.42,17,13.12
tp20_tpr80,,,0.2,0.8,2024,84.95,38.943,2.05,8.307,16.0,86.4,2.399,49.3,136,0.408,38,56.23
tp20_tpr80,,,0.2,0.8,IS2025,24.36,7.208,0.516,3.272,21.31,78.5,1.487,43.5,115,0.38,20,33.87
tp20_tpr80,,,0.2,0.8,OOS,2.17,1.824,0.161,0.594,15.16,92.2,1.11,38.3,47,0.313,2,20.48
tp20_tpr90,,,0.2,0.9,2024,90.79,25.842,2.105,7.129,29.81,124.1,1.874,48.1,185,0.556,64,43.9
tp20_tpr90,,,0.2,0.9,IS2025,26.34,7.778,0.557,3.396,21.35,78.5,1.418,43.2,146,0.482,33,33.14
tp20_tpr90,,,0.2,0.9,OOS,11.03,9.363,0.744,3.091,15.0,86.8,1.548,38.8,49,0.327,6,24.36
tp30_tpr90,,,0.3,0.9,2024,85.56,26.337,1.739,6.529,27.41,147.8,1.891,47.3,165,0.495,42,62.28
tp30_tpr90,,,0.3,0.9,IS2025,31.12,9.672,0.596,3.855,20.29,78.5,1.544,41.3,126,0.416,22,41.38
tp30_tpr90,,,0.3,0.9,OOS,9.17,7.702,0.627,2.494,15.16,92.2,1.488,40.0,45,0.3,2,37.06
sl10slr70_tp20tpr80,0.1,0.7,0.2,0.8,2024,88.77,41.936,2.104,8.51,15.66,86.4,2.482,47.4,137,0.411,38,57.18
sl10slr70_tp20tpr80,0.1,0.7,0.2,0.8,IS2025,24.24,6.258,0.487,3.197,24.42,78.5,1.436,40.3,129,0.426,23,32.18
sl10slr70_tp20tpr80,0.1,0.7,0.2,0.8,OOS,6.55,5.047,0.396,1.798,16.54,92.2,1.312,38.0,50,0.333,2,20.48
sl10slr70_tp20tpr85,0.1,0.7,0.2,0.85,2024,92.05,34.771,2.077,7.896,20.9,85.1,2.057,46.4,168,0.505,51,49.92
sl10slr70_tp20tpr85,0.1,0.7,0.2,0.85,IS2025,28.87,7.722,0.581,3.735,23.58,78.5,1.47,42.1,140,0.462,28,32.48
sl10slr70_tp20tpr85,0.1,0.7,0.2,0.85,OOS,8.59,6.616,0.517,2.35,16.54,92.2,1.405,37.3,51,0.34,4,23.15
sl10slr90_tp20tpr80,0.1,0.9,0.2,0.8,2024,56.09,20.522,1.885,10.633,18.43,89.6,1.638,33.6,238,0.715,43,52.49
sl10slr90_tp20tpr80,0.1,0.9,0.2,0.8,IS2025,16.76,4.21,0.49,4.494,25.09,66.0,1.266,32.5,209,0.69,28,31.53
sl10slr90_tp20tpr80,0.1,0.9,0.2,0.8,OOS,7.32,4.928,0.532,4.277,18.93,118.9,1.271,26.3,76,0.507,4,25.5
sl10slr80_tp20tpr85,0.1,0.8,0.2,0.85,2024,73.47,24.036,1.882,7.085,23.65,148.5,1.807,42.3,189,0.568,48,51.32
sl10slr80_tp20tpr85,0.1,0.8,0.2,0.85,IS2025,31.58,8.674,0.649,4.445,22.96,68.6,1.513,38.9,162,0.535,30,31.4
sl10slr80_tp20tpr85,0.1,0.8,0.2,0.85,OOS,9.09,7.13,0.602,3.072,16.23,106.4,1.391,30.5,59,0.393,3,26.2
sl05slr80_tp10tpr70,0.05,0.8,0.1,0.7,2024,60.07,23.109,1.648,6.339,18.02,132.3,1.971,36.5,167,0.502,34,55.72
sl05slr80_tp10tpr70,0.05,0.8,0.1,0.7,IS2025,19.46,5.035,0.467,2.525,24.36,77.9,1.376,34.2,146,0.482,25,27.01
sl05slr80_tp10tpr70,0.05,0.8,0.1,0.7,OOS,8.37,6.745,0.588,2.303,15.81,65.7,1.401,37.0,54,0.36,5,20.09
