label,sl_pct,sl_rank,tp_pct,tp_rank,period,profit_pct,calmar,sharpe,sortino,drawdown_pct,dd_days,profit_factor,win_rate,trades,tpd,cond_tp_count,cond_tp_avg_pct
baseline,,,,,2024,77.9,60.539,1.205,5.944,7.33,32.0,3.536,56.2,64,0.175,0,0.0
baseline,,,,,IS2025,29.24,13.317,0.484,3.551,13.84,234.7,1.864,42.6,68,0.224,0,0.0
baseline,,,,,OOS,6.5,4.971,0.298,1.435,16.85,63.9,1.367,37.9,29,0.193,0,0.0
tp10_tpr80,,,0.1,0.8,2024,90.43,34.117,1.49,6.132,20.04,67.2,2.501,49.5,105,0.288,41,51.91
tp10_tpr80,,,0.1,0.8,IS2025,23.68,8.133,0.448,2.908,18.36,218.2,1.545,43.2,95,0.314,30,18.86
tp10_tpr80,,,0.1,0.8,OOS,5.36,3.489,0.227,1.378,19.77,73.7,1.264,40.6,32,0.213,3,10.59
tp10_tpr90,,,0.1,0.9,2024,89.59,28.522,1.57,5.48,24.88,70.0,1.881,53.2,158,0.433,78,36.66
tp10_tpr90,,,0.1,0.9,IS2025,29.64,11.993,0.606,3.692,15.87,37.0,1.565,54.0,126,0.416,60,14.77
tp10_tpr90,,,0.1,0.9,OOS,14.73,13.137,0.713,3.259,14.6,31.3,1.874,47.2,36,0.24,9,12.51
tp20_tpr80,,,0.2,0.8,2024,97.7,34.281,1.499,6.407,22.47,63.2,2.68,50.5,97,0.266,28,75.09
tp20_tpr80,,,0.2,0.8,IS2025,21.02,6.929,0.373,2.641,19.13,234.7,1.49,41.0,83,0.274,16,29.59
tp20_tpr80,,,0.2,0.8,OOS,6.5,4.971,0.298,1.435,16.85,63.9,1.367,37.9,29,0.193,0,0.0
tp20_tpr90,,,0.2,0.9,2024,73.9,19.465,1.232,4.843,30.46,63.4,1.725,45.5,134,0.367,48,55.4
tp20_tpr90,,,0.2,0.9,IS2025,31.92,13.552,0.561,4.054,15.17,35.5,1.704,44.6,92,0.304,26,26.66
tp20_tpr90,,,0.2,0.9,OOS,12.39,11.581,0.594,2.65,14.02,63.3,1.782,45.2,31,0.207,4,23.42
tp30_tpr90,,,0.3,0.9,2024,96.8,32.905,1.456,6.046,24.04,63.2,1.989,47.9,119,0.326,38,72.32
tp30_tpr90,,,0.3,0.9,IS2025,27.81,10.118,0.492,3.487,17.64,221.9,1.603,40.4,89,0.294,16,38.3
tp30_tpr90,,,0.3,0.9,OOS,7.2,5.532,0.335,1.59,16.77,61.0,1.406,40.0,30,0.2,1,37.83
sl10slr70_tp20tpr80,0.1,0.7,0.2,0.8,2024,91.04,31.637,1.432,6.486,21.75,63.3,2.453,46.6,103,0.282,27,75.89
sl10slr70_tp20tpr80,0.1,0.7,0.2,0.8,IS2025,24.83,8.484,0.42,3.09,18.45,234.6,1.583,39.1,87,0.287,17,28.9
sl10slr70_tp20tpr80,0.1,0.7,0.2,0.8,OOS,6.5,4.971,0.298,1.435,16.85,63.9,1.367,37.9,29,0.193,0,0.0
sl10slr70_tp20tpr85,0.1,0.7,0.2,0.85,2024,83.71,38.351,1.463,6.139,15.76,112.0,2.271,46.4,110,0.301,34,60.93
sl10slr70_tp20tpr85,0.1,0.7,0.2,0.85,IS2025,24.81,8.815,0.458,3.016,17.93,222.0,1.528,40.2,97,0.32,21,30.13
sl10slr70_tp20tpr85,0.1,0.7,0.2,0.85,OOS,6.95,5.316,0.324,1.535,16.85,63.9,1.392,40.0,30,0.2,1,30.92
sl10slr80_tp20tpr85,0.1,0.8,0.2,0.85,2024,69.43,22.759,1.341,5.994,21.35,158.9,1.911,39.8,133,0.364,35,59.32
sl10slr80_tp20tpr85,0.1,0.8,0.2,0.85,IS2025,19.03,6.175,0.403,2.548,19.63,222.0,1.442,33.3,102,0.337,18,29.35
sl10slr80_tp20tpr85,0.1,0.8,0.2,0.85,OOS,7.76,5.579,0.372,1.748,17.92,63.9,1.426,40.6,32,0.213,1,30.92
sl05slr80_tp10tpr70,0.05,0.8,0.1,0.7,2024,74.08,53.683,1.271,6.328,8.64,18.4,2.654,33.0,103,0.282,22,80.56
sl05slr80_tp10tpr70,0.05,0.8,0.1,0.7,IS2025,19.73,5.741,0.364,2.559,21.67,235.9,1.503,28.7,94,0.31,16,23.77
sl05slr80_tp10tpr70,0.05,0.8,0.1,0.7,OOS,11.24,8.362,0.455,2.485,17.21,64.1,1.599,30.3,33,0.22,2,12.62
