config,cfg_id,threshold,period,profit_pct,sharpe,calmar,sortino,drawdown_pct,profit_factor,win_rate,trades,tpd,market_pct
v19_v16_triple_adj_mom,v19,exit0.50,2024,66.07,1.273,34.495,6.334,12.97,2.444,45.5,99,0.297,92.55
v19_v16_triple_adj_mom,v19,exit0.50,IS2025,2.36,0.054,0.493,0.315,30.23,1.044,36.8,106,0.35,-40.53
v19_v16_triple_adj_mom,v19,exit0.50,OOS,-3.13,-0.262,-1.971,-0.854,20.25,0.865,43.5,46,0.307,-42.53
v22_v17_dual_volmom,v22,exit0.50,2024,67.68,1.378,28.692,6.048,17.26,2.609,48.8,86,0.258,92.55
v22_v17_dual_volmom,v22,exit0.50,IS2025,8.96,0.182,1.911,1.126,29.56,1.176,33.3,99,0.327,-40.53
v22_v17_dual_volmom,v22,exit0.50,OOS,1.5,0.08,1.022,0.36,18.65,1.072,33.3,39,0.26,-42.53
v17_v05_drop_rev_overext,v17,exit0.50,2024,67.6,1.228,53.214,5.436,8.5,3.162,50.0,60,0.18,92.55
v17_v05_drop_rev_overext,v17,exit0.50,IS2025,3.57,0.078,0.722,0.448,31.17,1.074,31.0,87,0.287,-40.53
v17_v05_drop_rev_overext,v17,exit0.50,OOS,1.09,0.059,0.687,0.254,20.23,1.052,27.3,33,0.22,-42.53
v26_v19_exit55,v26,exit0.55,2024,72.29,1.334,48.154,6.337,9.99,2.65,45.0,100,0.3,92.55
v26_v19_exit55,v26,exit0.55,IS2025,-4.9,-0.129,-0.875,-0.678,35.32,0.908,38.6,114,0.376,-40.53
v26_v19_exit55,v26,exit0.55,OOS,-7.42,-0.69,-4.294,-2.075,22.01,0.707,33.3,48,0.32,-42.53
v27_v19_exit60,v27,exit0.60,2024,61.43,1.213,28.795,5.67,13.78,2.189,41.8,110,0.33,92.55
v27_v19_exit60,v27,exit0.60,IS2025,-2.28,-0.059,-0.431,-0.308,33.31,0.958,33.3,117,0.386,-40.53
v27_v19_exit60,v27,exit0.60,OOS,0.57,0.036,0.373,0.164,19.39,1.024,33.3,48,0.32,-42.53
v28_v19_exit65,v28,exit0.65,2024,59.11,1.25,28.024,5.431,13.84,2.006,43.2,132,0.396,92.55
v28_v19_exit65,v28,exit0.65,IS2025,2.65,0.068,0.597,0.343,28.01,1.049,36.6,123,0.406,-40.53
v28_v19_exit65,v28,exit0.65,OOS,-0.27,-0.019,-0.16,-0.075,21.53,0.989,29.4,51,0.34,-42.53
v29_v22_exit55,v29,exit0.55,2024,53.02,1.219,25.051,4.978,15.44,2.063,43.8,105,0.315,92.55
v29_v22_exit55,v29,exit0.55,IS2025,9.32,0.202,2.034,1.188,28.88,1.181,37.2,113,0.373,-40.53
v29_v22_exit55,v29,exit0.55,OOS,-3.82,-0.246,-2.303,-0.94,21.11,0.837,27.3,44,0.293,-42.53
v30_v22_exit60,v30,exit0.60,2024,55.26,1.335,20.884,5.051,19.56,1.95,40.8,130,0.39,92.55
v30_v22_exit60,v30,exit0.60,IS2025,8.2,0.186,1.716,1.025,30.13,1.156,38.4,125,0.413,-40.53
v30_v22_exit60,v30,exit0.60,OOS,-5.48,-0.409,-3.37,-1.445,20.73,0.775,27.5,51,0.34,-42.53
v31_v22_exit65,v31,exit0.65,2024,64.22,1.637,21.918,6.952,21.47,2.105,46.3,149,0.447,92.55
v31_v22_exit65,v31,exit0.65,IS2025,7.09,0.196,1.565,0.924,28.58,1.126,41.5,147,0.485,-40.53
v31_v22_exit65,v31,exit0.65,OOS,4.23,0.283,3.034,1.076,17.75,1.182,34.0,50,0.333,-42.53
v32_v17_exit60,v32,exit0.60,2024,57.4,1.244,21.915,5.032,18.74,2.508,45.2,84,0.252,92.55
v32_v17_exit60,v32,exit0.60,IS2025,6.81,0.135,1.355,0.847,31.7,1.139,34.4,96,0.317,-40.53
v32_v17_exit60,v32,exit0.60,OOS,2.54,0.151,1.841,0.584,17.56,1.138,36.4,33,0.22,-42.53
