config,cfg_id,label,period,profit_pct,sharpe,calmar,sortino,drawdown_pct,profit_factor,win_rate,trades,tpd,market_pct
v31_v22_exit65,v31,v31_baseline,2024,64.22,1.637,21.918,6.952,21.47,2.105,46.3,149,0.447,92.55
v31_v22_exit65,v31,v31_baseline,IS2025,7.09,0.196,1.565,0.924,28.58,1.126,41.5,147,0.485,-40.53
v31_v22_exit65,v31,v31_baseline,OOS,4.23,0.283,3.034,1.076,17.75,1.182,34.0,50,0.333,-42.53
v33_v31_quality_weights,v33,quality_weights,2024,60.6,1.429,22.573,5.576,19.0,2.262,46.8,111,0.333,92.55
v33_v31_quality_weights,v33,quality_weights,IS2025,18.44,0.373,5.316,2.133,21.87,1.473,38.6,101,0.333,-40.53
v33_v31_quality_weights,v33,quality_weights,OOS,5.03,0.355,3.817,1.334,16.79,1.249,40.8,49,0.327,-42.53
v34_v31_add_adj14,v34,add_adj14,2024,74.25,1.702,45.192,7.073,12.3,2.387,48.8,127,0.381,92.55
v34_v31_add_adj14,v34,add_adj14,IS2025,14.33,0.333,4.117,1.923,21.94,1.276,41.7,115,0.38,-40.53
v34_v31_add_adj14,v34,add_adj14,OOS,1.71,0.103,1.193,0.472,18.25,1.074,34.0,50,0.333,-42.53
v35_v31_full_quality,v35,full_quality,2024,64.23,1.489,36.248,6.607,12.65,2.298,45.9,109,0.327,92.55
v35_v31_full_quality,v35,full_quality,IS2025,14.86,0.289,3.768,1.872,24.87,1.331,40.0,100,0.33,-40.53
v35_v31_full_quality,v35,full_quality,OOS,6.23,0.433,5.223,1.652,15.2,1.326,37.8,45,0.3,-42.53
v36_v31_boost_liqsize,v36,boost_liqsize,2024,59.35,1.249,23.192,4.955,18.19,2.347,42.7,89,0.267,92.55
v36_v31_boost_liqsize,v36,boost_liqsize,IS2025,30.09,0.486,10.563,3.611,17.96,1.814,45.8,83,0.274,-40.53
v36_v31_boost_liqsize,v36,boost_liqsize,OOS,-1.85,-0.129,-1.1,-0.429,21.44,0.922,27.5,40,0.267,-42.53
